t,cycle_no,base_pct,GDP_pct,GNI_pct,AD_pct,AS_pct,Pw_pct,Sw_pct,IKT_pct,IHT_pct,target_GDP,target_GNI,target_AD,target_AS,asymmetry,Pc,Pw,P_net,P_net_check,P_N,P_A,Sc,Sw,S_net,S_net_check,S_N,S_A,Mc,M_N,M_A,B_N,B_A,I_K_N,R_K_N,I_K_A,R_K_A,I_H_N,R_H_N,I_H_A,R_H_A,I_K_T_abs,I_H_T_abs,I_K_T_check,I_H_T_check,K_stock,H_stock,bal1_driver,bal2_driver,bal3_driver,bal4_driver,BAL_1_abs,BAL_2_abs,BAL_3_abs,BAL_4_abs,amp_mod_1,amp_mod_2,amp_mod_3,amp_mod_4,GDP_abs,GNI_abs,AD_abs,AS_abs,Pw_abs_plot,Sw_abs_plot,IKT_abs_plot,IHT_abs_plot,GDP_gap_abs,GNI_gap_abs,AD_gap_abs,AS_gap_abs
0,1,0.20873217885645795,0.21533793834512258,0.2177561441275246,0.21335438534159798,0.2177561441275246,0.21533793834512258,0.2177561441275246,0.2177561441275246,0.21335438534159798,0.20873217885645795,0.20873217885645795,0.20873217885645795,0.20873217885645795,0.0,1.007972090505086,0.8466779509961759,0.16129413950891006,0.16129413950891003,1.007972090505086,0.0,1.007972090505086,0.8466779509961759,0.16129413950891006,0.16129413950891003,1.007972090505086,0.0,1.007972090505086,1.007972090505086,0.0,1.007972090505086,0.0,0.8466779509961759,0.05484000743302942,0.0,0.0,0.8466779509961759,0.05484000743302942,0.0,0.0,0.9015179584292053,0.9015179584292053,0.9015179584292053,0.9015179584292053,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
1,1,0.2631637095264414,0.2330618946726882,0.24142645265325843,0.2259818561859317,0.24142645265325843,0.2330618946726882,0.24142645265325843,0.24142645265325843,0.2259818561859317,0.2631637095264414,0.2631637095264414,0.2631637095264414,0.2631637095264414,0.0,1.010168119536525,0.8485365045374611,0.16163161499906395,0.16163161499906398,1.010168119536525,0.0,1.010168119536525,0.8485365045374611,0.16163161499906395,0.16163161499906398,1.010168119536525,0.0,1.010168119536525,1.010168119536525,0.0,1.010168119536525,0.0,0.8485365045374611,0.054954749099681746,0.0,0.0,0.8485365045374611,0.054954749099681746,0.0,0.0,0.9034912536371429,0.9034912536371429,0.9034912536371429,0.9034912536371429,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
2,1,0.3572349997062531,0.2696197854696199,0.2890338298067739,0.25256557212680825,0.2890338298067739,0.2696197854696199,0.2890338298067739,0.2890338298067739,0.25256557212680825,0.3572349997062531,0.3572349997062531,0.3572349997062531,0.3572349997062531,0.0,1.0140153854293141,0.8518005284311354,0.16221485699817878,0.16221485699817872,1.0140153854293141,0.0,1.0140153854293141,0.8518005284311354,0.16221485699817878,0.16221485699817872,1.0140153854293141,0.0,1.0140153854293141,1.0140153854293141,0.0,1.0140153854293141,0.0,0.8518005284311354,0.05515305137938079,0.0,0.0,0.8518005284311354,0.05515305137938079,0.0,0.0,0.9069535798105162,0.9069535798105162,0.9069535798105162,0.9069535798105162,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
3,1,0.484528868029279,0.3286342557405495,0.3637571172974548,0.2964915022545425,0.3637571172974548,0.3286342557405495,0.3637571172974548,0.3637571172974548,0.2964915022545425,0.484528868029279,0.484528868029279,0.484528868029279,0.484528868029279,0.0,1.0193014076730185,0.856297328691237,0.16300407898178154,0.1630040789817815,1.0193014076730185,0.0,1.0193014076730185,0.856297328691237,0.16300407898178154,0.1630040789817815,1.0193014076730185,0.0,1.0193014076730185,1.0193014076730185,0.0,1.0193014076730185,0.0,0.856297328691237,0.05542138685380573,0.0,0.0,0.856297328691237,0.05542138685380573,0.0,0.0,0.9117187155450427,0.9117187155450427,0.9117187155450427,0.9117187155450427,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
4,1,0.6357941841804083,0.410615884982296,0.46462591224092564,0.3590337104340021,0.46462591224092564,0.410615884982296,0.46462591224092564,0.46462591224092564,0.3590337104340021,0.6357941841804083,0.6357941841804083,0.6357941841804083,0.6357941841804083,0.0,1.0256735380245416,0.8617316140826231,0.16394192394191853,0.16394192394191853,1.0256735380245416,0.0,1.0256735380245416,0.8617316140826231,0.16394192394191853,0.16394192394191853,1.0256735380245416,0.0,1.0256735380245416,1.0256735380245416,0.0,1.0256735380245416,0.0,0.8617316140826231,0.055740254140252306,0.0,0.0,0.8617316140826231,0.055740254140252306,0.0,0.0,0.9174718682228754,0.9174718682228754,0.9174718682228754,0.9174718682228754,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
5,1,0.8031226232454404,0.5140176177679839,0.5883539324387714,0.4399043168581713,0.5883539324387714,0.5140176177679839,0.5883539324387714,0.5883539324387714,0.4399043168581713,0.8031226232454404,0.8031226232454404,0.8031226232454404,0.8031226232454404,0.0,1.0328113648754575,0.8678320046113358,0.16497936026412174,0.16497936026412174,1.0328113648754575,0.0,1.0328113648754575,0.8678320046113358,0.16497936026412174,0.16497936026412174,1.0328113648754575,0.0,1.0328113648754575,1.0328113648754575,0.0,1.0328113648754575,0.0,0.8678320046113358,0.0560929824898014,0.0,0.0,0.8678320046113358,0.0560929824898014,0.0,0.0,0.9239249871011372,0.9239249871011372,0.9239249871011372,0.9239249871011372,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
6,1,0.9805653599148444,0.6361702314152856,0.7307272472843211,0.5378119050854542,0.7307272472843211,0.6361702314152856,0.7307272472843211,0.7307272472843211,0.5378119050854542,0.9805653599148444,0.9805653599148444,0.9805653599148444,0.9805653599148444,0.0,1.040462593689145,0.8743830884576729,0.16607950523147202,0.16607950523147208,1.040462593689145,0.0,1.040462593689145,0.8743830884576729,0.16607950523147202,0.16607950523147208,1.040462593689145,0.0,1.040462593689145,1.040462593689145,0.0,1.040462593689145,0.0,0.8743830884576729,0.056467031778700494,0.0,0.0,0.8743830884576729,0.056467031778700494,0.0,0.0,0.9308501202363734,0.9308501202363734,0.9308501202363734,0.9308501202363734,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
7,1,1.164334931876136,0.7740626989648046,0.8876147535631099,0.6509804198206446,0.8876147535631099,0.7740626989648046,0.8876147535631099,0.8876147535631099,0.6509804198206446,1.164334931876136,1.164334931876136,1.164334931876136,1.164334931876136,0.0,1.0484601960927562,0.8812413195151242,0.16721887657763204,0.16721887657763201,1.0484601960927562,0.0,1.0484601960927562,0.8812413195151242,0.16721887657763204,0.16721887657763201,1.0484601960927562,0.0,1.0484601960927562,1.0484601960927562,0.0,1.0484601960927562,0.0,0.8812413195151242,0.0568544180363949,0.0,0.0,0.8812413195151242,0.0568544180363949,0.0,0.0,0.9380957375515191,0.9380957375515191,0.9380957375515191,0.9380957375515191,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
8,1,1.3523492368889938,0.9248505507330606,1.0555191932791512,0.7775268197523089,1.0555191932791512,0.9248505507330606,1.0555191932791512,1.0555191932791512,0.7775268197523089,1.3523492368889938,1.3523492368889938,1.3523492368889938,1.3523492368889938,0.0,1.0567083024459973,0.8883237371772856,0.16838456526871176,0.1683845652687117,1.0567083024459973,0.0,1.0567083024459973,0.8883237371772856,0.16838456526871176,0.1683845652687117,1.0567083024459973,0.0,1.0567083024459973,1.0567083024459973,0.0,1.0567083024459973,0.0,0.8883237371772856,0.057250752191362005,0.0,0.0,0.8883237371772856,0.057250752191362005,0.0,0.0,0.9455744893686476,0.9455744893686476,0.9455744893686476,0.9455744893686476,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
9,1,1.543623411666586,1.0861081553652057,1.2317582422224522,0.9156849714587909,1.2317582422224522,1.0861081553652057,1.2317582422224522,1.2317582422224522,0.9156849714587909,1.543623411666586,1.543623411666586,1.543623411666586,1.543623411666586,0.0,1.0651586035654546,0.8955881384131217,0.16957046515233284,0.16957046515233287,1.0651586035654546,0.0,1.0651586035654546,0.8955881384131217,0.16957046515233284,0.16957046515233287,1.0651586035654546,0.0,1.0651586035654546,1.0651586035654546,0.0,1.0651586035654546,0.0,0.8955881384131217,0.05765395815179317,0.0,0.0,0.8955881384131217,0.05765395815179317,0.0,0.0,0.9532420965649149,0.9532420965649149,0.9532420965649149,0.9532420965649149,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
